split,dataset_split,slice_id,model_type,case_index,repeat,matched_exact_blocks,true_descent,true_directional_derivative,cosine_to_exact
id,test_id,seam_004_xl_0643,seam,0,90,18,True,-77.69787896402659,0.9883993293485592
id,test_id,seam_004_xl_0643,seam,0,91,18,True,-76.83140345062942,0.9773768429209023
id,test_id,seam_004_xl_0643,seam,0,92,18,True,-76.7568782684502,0.9764288036556398
id,test_id,seam_004_xl_0643,seam,0,93,18,True,-76.38133074732627,0.9716514413522336
id,test_id,seam_004_xl_0643,seam,0,94,18,True,-76.28975369855323,0.9704864842800727
id,test_id,seam_004_xl_0643,seam,0,95,18,True,-76.84114242748467,0.9775007330234462
id,test_id,seam_004_xl_0643,seam,0,96,18,True,-76.58464548524097,0.974237820199133
id,test_id,seam_004_xl_0643,seam,0,97,18,True,-75.22710104856819,0.9569684168555818
id,test_id,seam_004_xl_0643,seam,0,98,18,True,-77.47249990419138,0.9855322689530824
id,test_id,seam_004_xl_0643,seam,0,99,18,True,-76.61011767517681,0.9745618534389757
id,test_id,gom_142_xl_0408,gom,1,0,7,True,-113.42553317037368,0.8676299089610635
id,test_id,gom_142_xl_0408,gom,1,1,7,True,-105.81583908267751,0.8094208090874746
id,test_id,gom_142_xl_0408,gom,1,2,7,True,-110.23396492888472,0.8432165340761805
id,test_id,gom_142_xl_0408,gom,1,3,7,True,-58.72369758665103,0.4491972395177695
id,test_id,gom_142_xl_0408,gom,1,4,7,True,-120.90135816647677,0.9248149992972484
id,test_id,gom_142_xl_0408,gom,1,5,7,True,-58.9938296170681,0.4512635699321586
id,test_id,gom_142_xl_0408,gom,1,6,7,True,-91.3694881172061,0.6989158299822461
id,test_id,gom_142_xl_0408,gom,1,7,7,True,-119.50021848230031,0.9140972123700517
id,test_id,gom_142_xl_0408,gom,1,8,7,True,-70.12800444929186,0.5364326039760918
id,test_id,gom_142_xl_0408,gom,1,9,7,True,-71.98128631024827,0.5506089779137442
id,test_id,gom_142_xl_0408,gom,1,10,7,True,-108.20556529619236,0.8277006256254258
id,test_id,gom_142_xl_0408,gom,1,11,7,True,-112.87161388929496,0.8633927947771503
id,test_id,gom_142_xl_0408,gom,1,12,7,True,-43.24941255413151,0.33082924830157956
id,test_id,gom_142_xl_0408,gom,1,13,7,True,-83.39278281970726,0.6378993383896298
id,test_id,gom_142_xl_0408,gom,1,14,7,True,-80.84728834842186,0.6184279982543812
id,test_id,gom_142_xl_0408,gom,1,15,7,True,-92.67747172406933,0.7089210348600641
id,test_id,gom_142_xl_0408,gom,1,16,7,True,-51.52461763669231,0.39412906476910925
id,test_id,gom_142_xl_0408,gom,1,17,7,True,-35.84588062735895,0.27419715187610016
id,test_id,gom_142_xl_0408,gom,1,18,7,True,-115.02839147298565,0.8798907091909709
id,test_id,gom_142_xl_0408,gom,1,19,7,True,-63.557201613781814,0.4861703313940334
id,test_id,gom_142_xl_0408,gom,1,20,7,True,-82.49326596689107,0.6310186325793641
id,test_id,gom_142_xl_0408,gom,1,21,7,True,-88.55665661345046,0.67739953930843
id,test_id,gom_142_xl_0408,gom,1,22,7,True,-101.37621330207021,0.7754606238965124
id,test_id,gom_142_xl_0408,gom,1,23,7,True,-95.60976774589648,0.7313511496618457
id,test_id,gom_142_xl_0408,gom,1,24,7,True,-57.60210799372895,0.4406178249080367
id,test_id,gom_142_xl_0408,gom,1,25,7,True,-87.85127240918727,0.6720038191753963
id,test_id,gom_142_xl_0408,gom,1,26,7,True,-115.0941764401131,0.8803939204472415
id,test_id,gom_142_xl_0408,gom,1,27,7,True,-89.98408106620957,0.6883183872378104
id,test_id,gom_142_xl_0408,gom,1,28,7,True,-55.67569333370558,0.42588203368555455
id,test_id,gom_142_xl_0408,gom,1,29,7,True,-67.9571835918036,0.519827267855483
id,test_id,gom_142_xl_0408,gom,1,30,7,True,-91.63990338668967,0.7009843269871603
id,test_id,gom_142_xl_0408,gom,1,31,7,True,-114.93155028100648,0.8791499384647329
id,test_id,gom_142_xl_0408,gom,1,32,7,True,-92.72617994598752,0.7092936203702863
id,test_id,gom_142_xl_0408,gom,1,33,7,True,-51.318490969260694,0.3925523328226127
id,test_id,gom_142_xl_0408,gom,1,34,7,True,-44.705189120654666,0.3419649710491455
id,test_id,gom_142_xl_0408,gom,1,35,7,True,-118.07927377480291,0.9032279301833606
id,test_id,gom_142_xl_0408,gom,1,36,7,True,-58.887499479034204,0.45045021507806593
id,test_id,gom_142_xl_0408,gom,1,37,7,True,-60.071389600952315,0.4595061873092639
id,test_id,gom_142_xl_0408,gom,1,38,7,True,-110.31666187682471,0.8438491107404202
id,test_id,gom_142_xl_0408,gom,1,39,7,True,-69.27812100513378,0.5299315607394268
id,test_id,gom_142_xl_0408,gom,1,40,7,True,-42.975365810819945,0.32873297293654924
id,test_id,gom_142_xl_0408,gom,1,41,7,True,-115.6929049009627,0.8849737950615316
id,test_id,gom_142_xl_0408,gom,1,42,7,True,-108.2810855320285,0.8282783052140664
id,test_id,gom_142_xl_0408,gom,1,43,7,True,-77.46601223054356,0.5925634842571638
id,test_id,gom_142_xl_0408,gom,1,44,7,True,-46.61576658906171,0.35657961828635193
id,test_id,gom_142_xl_0408,gom,1,45,7,True,-46.52197209384357,0.3558621527645022
id,test_id,gom_142_xl_0408,gom,1,46,7,True,-99.22361192707224,0.7589946547023138
id,test_id,gom_142_xl_0408,gom,1,47,7,True,-85.93873819694895,0.6573742041489741
id,test_id,gom_142_xl_0408,gom,1,48,7,True,-110.92655733661539,0.8485144054713615
id,test_id,gom_142_xl_0408,gom,1,49,7,True,-89.06605778335332,0.6812961195431783
id,test_id,gom_142_xl_0408,gom,1,50,7,True,-98.0887698207876,0.7503138671773217
id,test_id,gom_142_xl_0408,gom,1,51,7,True,-55.85687725857696,0.4272679702365886
id,test_id,gom_142_xl_0408,gom,1,52,7,True,-66.16825609043129,0.5061431619776455
id,test_id,gom_142_xl_0408,gom,1,53,7,True,-58.81181581495515,0.4498712853720348
id,test_id,gom_142_xl_0408,gom,1,54,7,True,-82.4172692778836,0.6304373084407697
id,test_id,gom_142_xl_0408,gom,1,55,7,True,-82.62796381392779,0.6320489815448492
id,test_id,gom_142_xl_0408,gom,1,56,7,True,-103.3603294899068,0.7906377934394143
id,test_id,gom_142_xl_0408,gom,1,57,7,True,-93.88628960339227,0.7181676878602492
id,test_id,gom_142_xl_0408,gom,1,58,7,True,-54.78816684636875,0.4190930461984787
id,test_id,gom_142_xl_0408,gom,1,59,7,True,-57.00704269945206,0.43606597108228595
id,test_id,gom_142_xl_0408,gom,1,60,7,True,-118.6976532867856,0.9079581222722883
id,test_id,gom_142_xl_0408,gom,1,61,7,True,-89.01477627874296,0.6809038501314082
id,test_id,gom_142_xl_0408,gom,1,62,7,True,-90.15816650919214,0.6896500251223728
id,test_id,gom_142_xl_0408,gom,1,63,7,True,-65.58746644104332,0.5017005073430219
