case_id,label,frequency_hz,exact_directional_derivative,surrogate_directional_derivative,realized_directional_error,primal_residual_norm,tangent_residual_norm,receiver_resolvent_norm,directional_tangent_resolvent_norm,directional_error_bound
5,s43_f3,3.0,-0.03552718606451283,-0.3976738783850498,0.362146692320537,435.8964733549772,3851.6293434646386,0.020233309659795164,5.71959932661852e-05,806.0243981162567
5,s43_f4,4.0,-0.0019434223809302498,-0.2022259947190332,0.20028257233810293,551.1763087585365,3545.2986963558315,0.018042079791822197,4.773044791576193e-05,838.0986542136422
6,s36_f3,3.0,-0.029196784382620904,-0.02394416186307181,0.005252622519549093,483.10279768762047,2265.586176703847,0.02386695171799316,8.866183345049891e-05,825.3984873921714
6,s36_f4,4.0,-0.4991440037976129,-0.5800331245045182,0.08088912070690524,584.4182271030033,3316.803940399833,0.02435182556399137,0.00010788546497823338,1789.7920467827385
6,s43_f3,3.0,-0.1794850246873258,-0.19695575031351453,0.017470725626188732,360.96960896984143,2140.0280214098348,0.02386695171799316,8.866183345049891e-05,565.4605112231533
6,s43_f4,4.0,-0.5763652380419602,-0.8418293491024338,0.26546411106047363,552.8383730707349,3418.256613402297,0.02435182556399137,0.00010788546497823338,1710.0041663147967
7,s36_f3,3.0,-0.08340283986359656,-0.22779445304448392,0.14439161318088736,485.5969877129683,2872.833681133029,0.026937553894902978,0.00010803651434884445,1295.7404696222222
7,s36_f4,4.0,-0.16768366864514747,-0.48153986311391317,0.31385619446876567,652.4367226748327,4179.657133782587,0.03004848889053391,0.0001519225066371261,3791.9900747689717
7,s43_f3,3.0,-0.10400742451503685,-0.12385428835452436,0.019846863839487514,374.2289174991734,2674.919130116247,0.026937553894902978,0.00010803651434884445,902.0185411425734
7,s43_f4,4.0,-0.23444942015134002,-0.5970866350688817,0.3626372149175417,639.6825076469204,4554.756356279665,0.03004848889053391,0.0001519225066371261,3928.404028212678
8,s36_f3,3.0,0.0018891787994376723,-0.13794738386896743,0.1398365626684051,509.14283662591305,2938.3547704165567,0.023678015382359092,2.5091811915170242e-05,922.7883292525514
8,s36_f4,4.0,-0.028056171208962432,-0.2561199205133517,0.22806374930438927,578.3083802437229,4133.834659605884,0.0217138945226375,3.291895585072315e-05,1327.0346243865772
8,s43_f3,3.0,-0.0005419303276876512,-0.06709583835520061,0.06655390802751296,394.37877855891236,2406.0044556588487,0.023678015382359092,2.5091811915170242e-05,580.7291057222368
