case_id,receiver_relative_l2,gradient_relative_l2,gradient_cosine_similarity,preregistered_failure,exact_directional_derivative,surrogate_directional_derivative,realized_directional_error,directional_error_bound,directional_effectivity,directional_certified_descent,true_descent,primal_residual_sum,tangent_residual_sum
27,0.15901212174781118,1.1608120151899592,0.23289624483612123,False,-0.21292919701113877,-0.7924076146628367,0.5794784176516979,5327.895323375153,9194.294664098335,False,True,2060.897917275386,13509.3714072899
28,0.33383427862964626,1.2093935732498338,-0.00028106288840302893,False,0.0006710230713339697,-1.623202503535819,1.6238735266071531,12123.239174899994,7465.630159160076,False,False,2489.7504997530177,14617.251930459493
29,0.16953327825406964,2.169918676450992,0.41669992750592405,False,-0.09737733621371517,-0.5578168946148832,0.460439558401168,3833.1928458221464,8325.072804631598,False,True,1990.5862669133555,12271.64850849181
30,0.18422781197945906,3.0333362834517557,0.1328214999044305,False,-0.07103816826988296,-1.6043369922886503,1.5332988240187673,7451.649588788083,4859.880847790226,False,True,2116.5682575198475,13716.419563917487
31,0.19901457472852002,1.4778963512201924,0.5840109867315041,False,-0.4804961267606934,-1.4966018237761622,1.016105697015469,3912.806837628583,3850.787225306754,False,True,2149.5104414647185,12009.349561501209
32,0.16922711907770496,1.1253860963828966,-0.011750841536710372,False,0.02227458928979676,-0.9565318736727042,0.978806462962501,17019.949732390927,17388.47297848602,False,False,2494.1269985494046,20701.85059291838
33,0.24606955056056148,2.5930255883191857,-0.4686695765368022,False,0.39774576675307816,-1.6712399128212436,2.068985679574322,14204.992084612772,6865.679267309062,False,False,2412.9845841011247,12619.051427654234
34,0.19530855978523712,1.7122009501314883,-0.25480502170387803,False,0.15623162004208346,-0.7101353476667996,0.8663669677088831,4272.408631517995,4931.407579880874,False,False,1998.9320888240043,13155.98804838326
35,0.26905664661039597,2.7196523949977456,0.3453587177926318,False,-0.0994405744069506,-0.8344221746447975,0.7349816002378469,2824.9530415373956,3843.5697446347153,False,True,2020.2575590995862,11217.334388890955
36,0.16502289176636106,2.4477831312629106,-0.0778785023487249,False,0.022283549906362346,-0.617380872159043,0.6396644220654054,8134.2234154516855,12716.391806171087,False,False,2253.528894421805,12119.194577933948
37,0.17056776654707875,3.8187357100822514,-0.25844616222323025,False,0.06252747581964466,-0.8313124854876088,0.8938399613072535,4608.363958681681,5155.69247087799,False,False,2065.6385977047353,11778.485058688084
38,0.2103110641518641,3.2534477410682423,0.5303344660350698,False,-0.2074531294427578,-1.4361495299391738,1.228696400496416,3562.4214709084195,2899.350457500433,False,True,2078.1556457267266,13227.233355075541
39,0.1649467283355704,1.513803009875259,0.4280783206390222,False,-0.3200882022132967,-1.2281605434848584,0.9080723412715617,11680.784219718336,12863.274971421208,False,True,2296.0865290471784,13921.686781483508
40,0.1401142677752532,2.9965930576825666,0.4257766091089869,True,-0.10978010179681895,-0.8463427285191023,0.7365626267222833,4934.96325390594,6699.991385480164,False,True,2013.216531822653,12238.37061525272
41,0.18702080570946267,2.020480337107424,0.6014476908751037,False,-0.3519814638137079,-1.4380533056520806,1.0860718418383728,4992.641772931446,4596.97193187561,False,True,2073.9371331864804,10918.399526329054
42,0.17788351256218768,2.014621092893334,0.5893277922489331,False,-0.5856449636865424,-2.4196484464131727,1.8340034827266303,6981.957481938756,3806.948867708045,False,True,2122.3938664941375,12141.731890559013
43,0.13651297469413978,2.018200188018393,0.10073762304985921,True,-0.04373405777576832,-0.8060492286242846,0.7623151708485163,7272.539147361793,9540.06876088651,False,True,2109.8485849660055,15348.593658092264
44,0.2520310871275668,1.7980562771678168,-0.30081491065940885,False,0.28624354271524666,-1.1642216196470336,1.4504651623622804,15888.321327984297,10953.948940151033,False,False,2417.297954005058,15861.974196319296
45,0.15350090726155513,2.0369751500816644,-0.17414067483014994,False,0.10591221732363046,-0.9785928493071205,1.084505066630751,13272.381849977934,12238.192571300246,False,False,2310.1481769001057,17609.739033005328
46,0.1667970470788005,1.4304459886727499,-0.024696796096499225,False,0.015602656711479866,-0.6307757193257324,0.6463783760372123,5096.961197172106,7885.414156983915,False,False,2124.0464878411194,13745.656303821026
47,0.1945095591106125,1.1736113056809874,0.6864277110610573,False,-0.6972620186730147,-1.6329671784723476,0.9357051597993329,9299.225896389169,9938.200937551139,False,True,2309.0967152270578,10741.101231164557
48,0.14973957667831234,5.090689699521654,0.0673728894420729,True,-0.010783334731722459,-0.8097689780792634,0.798985643347541,5740.675904491236,7184.955014259462,False,True,2067.4529398199006,12936.772683926703
49,0.12329036831834447,0.9863674264554882,0.6086447651525544,True,-0.5595161357289724,-1.0981942873357011,0.5386781516067287,9786.420623583139,18167.472718900775,False,True,2168.6882301599157,11875.03304761974
50,0.2648691712825242,2.0349541288121453,0.21511265607668612,False,-0.15482409706614014,-1.4397700646690654,1.2849459676029253,11692.504641143258,9099.608027064125,False,True,2406.1472714980405,14587.850842541677
51,0.14233919142834595,2.738409635938648,-0.08855794783302497,True,0.03699626450919361,-1.0286466938823158,1.0656429583915095,8603.349535869314,8073.388434767386,False,False,2114.9594036627,15502.28686495532
52,0.3116890265672485,2.2539814889877867,0.5624692714336509,False,-0.6220728948803581,-2.9411278586295335,2.3190549637491755,4116.724240402525,1775.1732083775578,False,True,2137.430416811632,11518.212147900831
53,0.2063153009240239,3.3905116796465786,-0.18812462409030015,False,0.07741968118588521,-1.2580674936767604,1.3354871748626456,7310.282739582506,5473.869668822815,False,False,2202.463736447734,11884.427888075954
54,0.12146357885784033,1.1690979858447965,0.5010190884156119,True,-0.38198105794907794,-0.9812407979638712,0.5992597400147932,7479.573838353647,12481.355477291047,False,True,2144.6455330578874,12589.808723900544
55,0.17723328109985506,1.6037573775113194,-0.24319851492091882,False,0.28022636738285345,-1.1914064164947018,1.4716327838775554,9745.195324685163,6622.029239528001,False,False,2238.5143531117546,15613.573364404401
56,0.14721218111536077,3.0733887418421206,0.5767227157375672,True,-0.2254946844613599,-1.3839389382148495,1.1584442537534896,6833.558509440183,5898.91010059283,False,True,2048.862390777748,11835.553119586102
57,0.19165068864470436,2.792007321464514,-0.3916800255280063,False,0.15310705401320826,-0.8773173201998309,1.0304243742130392,5837.555444724602,5665.195419297887,False,False,2056.6318537532397,12376.440982714626
58,0.11689775044970269,1.2063537936235507,0.4027407041815339,True,-0.2734602875241763,-0.8070206356199723,0.533560348095796,9080.57411457006,17018.832353223752,False,True,2202.1771449385296,13919.00081611527
59,0.2116154611566798,2.0267912685227856,0.36835478944880434,False,-0.1496273370130879,-0.881197754681029,0.7315704176679412,5867.953009941917,8021.036482923197,False,True,2099.6551558050746,16442.632960190444
60,0.18918439328008227,3.7493400360413425,-0.30746897360492975,False,0.07909475864484213,-0.8538238545813466,0.9329186132261887,5155.123355176042,5525.801803169907,False,False,2058.8436900884203,12996.350737490564
61,0.1289716648660944,0.7754206297133623,0.6319549699554915,True,-1.6628616365500473,-1.5960744999031884,0.06678713664685887,11153.413741664035,166999.42985485966,False,True,2172.970790348109,12832.252828916811
62,0.10883966694960183,1.0252933295670759,0.33433572265035405,True,-0.3422683409815552,-0.755588693876246,0.4133203528946909,8319.437713910522,20128.304003529716,False,True,2087.1099895068787,15730.18778289526
63,0.15224617583111602,0.9594548956939738,0.37573870454059466,False,-0.4248121796065655,-0.705724424530713,0.28091224492414757,6029.355776143814,21463.485074393506,False,True,2052.499596540824,12969.715534536628
64,0.13388653554457183,3.090294401055647,0.004134328107819844,True,-0.0012422523432214679,-0.8798324046471031,0.8785901523038816,5760.029281756458,6555.991171369529,False,True,2107.905465961151,11762.447645926663
65,0.3443514773864733,22.208350316964374,0.006657602281299315,False,-0.0002965490505756176,-0.9885180303857182,0.9882214813351425,2848.4112872281576,2882.361232807644,False,True,2201.7254535840166,13412.540463612817
66,0.20990786519124105,0.908474779800774,0.6355745834773928,False,-0.42560219336489147,-0.7462452360363976,0.3206430426715061,3227.666718108559,10066.23032022327,False,True,2033.5596255632454,10749.663773322558
67,0.18385005371550323,1.060812789704566,0.34187360645192016,False,-0.38871516980124554,-0.9482848630891282,0.5595696932878826,5655.053832877156,10106.07597357456,False,True,2207.687264064783,13336.872242928264
68,0.10539610423250753,0.8366590579629051,0.7119329403995258,True,-0.582784863550931,-0.9550854106645013,0.3723005471135703,6254.656549369427,16800.01976323028,False,True,2036.3025189415252,11321.559138116681
69,0.2349833714964732,6.7148943844816165,-0.3701841701430968,False,0.041010960753734796,-0.6957473941195618,0.7367583548732966,3479.6808596651736,4722.960841432995,False,False,2103.3457264212498,13900.480496799471
70,0.2312549718018742,2.3545042462067753,0.617031269022188,False,-0.40318251479357226,-1.8531957418291667,1.4500132270355945,4688.235572496015,3233.2364181812595,False,True,2116.026192968039,12853.441272182406
71,0.1224877217512394,2.7797721118830583,-0.24732598379365778,True,0.08303240049796001,-0.7916662618323989,0.8746986623303589,7766.077245811575,8878.574508301304,False,False,2107.728391736323,13012.668027222013
72,0.11923229575323915,0.9849660158912592,0.5645732111943059,True,-0.6358672490624617,-1.2412369556822362,0.6053697066197745,6860.791756575283,11333.226095643508,False,True,2105.3212142084403,13765.590463865747
73,0.12677019664576955,0.7586232245623415,0.7297263151714065,True,-0.7662462417233671,-1.1113420730060775,0.3450958312827104,7991.814003099411,23158.24556151284,False,True,2127.593369019417,11726.06839578838
74,0.19727699584654249,1.7022199947825905,0.5788556952015732,False,-0.2381336857166334,-0.8528271459463155,0.6146934602296821,3248.498576968399,5284.745628747356,False,True,2107.1635918486536,11607.576656819136
75,0.2660754665915116,1.0649609126078277,0.02196617840694638,False,-0.05902977998971446,-1.045032969778345,0.9860031897886304,13982.3457031244,14180.83211893239,False,True,2581.2279622420897,14833.941058366716
76,0.1280575076070338,2.7917208102283584,0.3663988163351923,True,-0.10763933266508349,-0.8808884028343613,0.7732490701692778,6386.501611073442,8259.307197970928,False,True,2064.4621934267466,15344.53938382633
77,0.10507830667865951,0.7610256543447713,0.7025838491829322,True,-1.6610118163051304,-1.0231995711305797,0.6378122451745507,11546.344481272141,18103.046105852423,False,True,2293.27696924285,11500.47270090565
78,0.11187538671306967,1.0725167762578207,0.5460247860757209,True,-0.35836687077851104,-0.7978734638352322,0.43950659305672113,4632.187027996853,10539.516587863882,False,True,2041.7667060641834,11211.214122888758
79,0.11027774727543621,1.565770005451493,0.07413965038050738,True,-0.030000587671467127,-0.5184602844514828,0.4884596967800157,5087.553943333343,10415.504036200125,False,True,2028.7108289496205,12963.607707927204
